company,id,predictedvalues,title
Johnson Matthey,1465,-1,Johnson Matthey raises prospect of investor payout
UBS,1539,-1,"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients"
National Grid,1282,0,EU membership vital for UK's energy market - National Grid CEO Steve Holliday
Tesco PLC,1522,0,Tesco PLC's Recovery Continues With A £250m Cash Infusion
Aggreko,1550,0,Industry NewsAggreko buys Canada's ICS for £18m
Standard Chartered PLC,1486,0,New management bring rights issue risk at Standard Chartered�?
SABMiller,1201,0,REFILE-RPT-Beer mega merger faces jobs battle in SABMiller's birthplace
Pure Food,1208,0,Whitbread buys 49% stake in Pure food chain
HSBC,1342,-1,"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients"
Glencore,1198,-1,UPDATE 1-LPC-Glencore launches refinancing of US$8.45bn loan
GSK,1633,0,GSK and Novartis complete deals to reshape both drugmakers
Morrisons,1233,0,UK supermarket group Morrisons cuts fresh food prices
Barclays,1196,0,New York judge tosses Saudi developer's $10 billion lawsuit vs Barclays
Land Securities,1458,-1,Land Securities share price: group reveals strong full-year results
Barclays,1264,0,"Barclays gives top bosses, including new chief executive Jes Staley, £8.7m in shares"
Deutsche Telekom,1494,0,Deutsche Telekom to Spend $27 Billion on Network in Germany
Great Portland Estates plc,1489,-1,"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?"
Tesco PLC,1512,0,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ..."
ExxonMobil,1296,0,Supreme Court Upholds $236 Million Jury Award Against ExxonMobil
Royal Bank of Scotland Group plc,1292,0,CompaniesHoward Davies appointment as RBS director delayed
Barclays,1568,0,Barclays sells benchmark indices unit to Bloomberg
Prudential,1319,0,Prudential's departing CEO Thiam earned 11.8 million pounds in 2014
Amazon,1349,0,Amazon's grocery deal with Morrisons is only the beginning
Amazon,1349,0,Amazon's grocery deal with Morrisons is only the beginning
AB InBev,1274,0,"EU regulators clear $100 billion-plus AB InBev, SABMiller deal"
Shire,1588,0,Shire says internal synergy goals from Baxalta deal higher
CaixaBank,1204,0,"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure"
BHP Billiton,1381,-1,"BHP, Glencore Head Tumbling Miners as Commodity Rout Deepens"
Deutsche Boerse,1152,0,London Stock Exchange – Deutsche Boerse merger under threat from Brexit
Deutsche Boerse,1152,0,London Stock Exchange – Deutsche Boerse merger under threat from Brexit
Diageo,1149,0,Diageo Shares Surge on Report of Possible Takeover by Lemann
Glencore,1608,-1,METALS-London copper climbs as shorts cover on Glencore cutbacks
HSBC,1342,-1,"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients"
Cypress Semiconductor,1432,0,UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution
Persimmon,1361,-1,"UK housing market steadies after Brexit dip, Persimmon says"
AstraZeneca,1634,0,Sanofi poaches AstraZeneca scientist as new research head
ConAgra,1454,0,ConAgra Names Former Hillshire Farms CEO Connolly to Top Post
Glencore,1457,0,Glencore has a mogul in denial
Glencore,1291,-1,Glencore director puts money back on the table
Antofagasta,1203,0,Industry NewsStrong end to a tough year for Antofagasta
BP,1209,-1,How Big Was BP's $5.8 Billion Loss?
Barclays,1433,0,Barclays in Talks With AnaCap to Sell French Consumer Operations
Glencore,1169,0,CompaniesGlencore shares hit 3-month high after refinancing key credit line
San Miguel,1267,0,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...
Kingfisher,1211,0,CompaniesShine comes off Kingfisher despite expansion plans
Chime Communications,1213,-1,Chime Communications Set To Be Acquired By WPP And Providence
Royal Mail,1351,0,CompaniesRoyal Mail revenues drop despite boost in parcels
Coutts,1534,-1,"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients"
BP,1472,0,"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack"
Morrisons,1185,1,Market Report: New Morrisons chief executive buys another £500000 worth of ...
Sainsbury's,1419,0,Sainsbury sales slip again as price pressures take a toll
Tesco PLC,1522,0,Tesco PLC's Recovery Continues With A £250m Cash Infusion
Barclays,1433,0,Barclays in Talks With AnaCap to Sell French Consumer Operations
Johnson Matthey,1236,0,"Royal Mail, Johnson Matthey lead FTSE lower"
EasyJet,1477,0,EasyJet Seeks EU Operating Certificate as Brexit Workaround
